,word,count
0,"부동산 > 주거시설 > 빌라,연립주택",2477
1,"문화,예술 > 사진 > 사진관,포토스튜디오",1581
2,부동산 > 부동산서비스 > 부동산중개업소,1357
3,부동산 > 빌딩,1241
4,"가정,생활 > 미용 > 미용실",1179
5,음식점 > 카페,1080
6,"가정,생활 > 반려동물 > 동물병원",1061
7,"교통,수송 > 교통시설 > 주차장",837
8,부동산 > 주거시설 > 아파트,829
9,"스포츠,레저 > 스포츠시설 > 헬스클럽",600
10,"문화,예술 > 음악",583
11,"가정,생활 > 반려동물",545
12,"서비스,산업 > 마케팅 > 광고제작",542
13,"가정,생활 > 미용",507
14,"음식점 > 한식 > 육류,고기",505
15,"음식점 > 간식 > 제과,베이커리",474
16,"가정,생활 > 세탁소",459
17,"가정,생활 > 꽃집,꽃배달",429
18,"사회,공공기관 > 단체,협회",419
19,"교육,학문 > 학원 > 미술학원",411
20,"교통,수송 > 자동차 > 전기자동차 충전소",409
21,"서비스,산업 > 기업",407
22,"의료,건강 > 병원 > 한방병원 > 한의원",405
23,"서비스,산업 > 인터넷,IT > 소프트웨어",400
24,"서비스,산업 > 인터넷,IT",393
25,"가정,생활 > 상가,아케이드",363
26,"가정,생활 > 여가시설 > 노래방",359
27,"문화,예술 > 음악 > 녹음실",351
28,"교육,학문 > 학원 > 음악학원",347
29,"교육,학문 > 유아교육 > 어린이집",346
30,"가정,생활 > 생활용품점 > 침구판매",346
31,음식점 > 카페 > 테마카페 > 애견카페,343
32,"가정,생활 > 미용 > 메이크업",333
33,"금융,보험 > 금융서비스 > 보험사 > 생명보험 > 삼성생명",318
34,"문화,예술 > 연예기획사",317
35,"음식점 > 한식 > 해물,생선",306
36,"의료,건강 > 병원 > 내과",306
37,"가정,생활 > 결혼 > 웨딩스튜디오",303
38,음식점 > 한식,301
39,"가정,생활 > 편의점 > GS25",294
40,"서비스,산업 > 건설,건축 > 인테리어",293
41,"가정,생활 > 편의점 > CU",277
42,"의료,건강 > 병원 > 치과",276
43,음식점 > 카페 > 테마카페 > 디저트카페,273
44,음식점 > 양식 > 햄버거,273
45,부동산 > 주거시설 > 오피스텔,270
46,"금융,보험 > 금융서비스 > 은행 > ATM",268
47,"스포츠,레저 > 스포츠용품 > 스키,보드용품",260
48,음식점 > 치킨,259
49,"서비스,산업 > 법률,행정 > 변리사",258
50,음식점 > 카페 > 커피전문점,254
51,"서비스,산업 > 제조업 > 가구",251
52,"서비스,산업 > 인터넷,IT > 홈페이지제작",240
53,"가정,생활 > 패션 > 의류대여서비스",235
54,부동산 > 부동산서비스,226
55,음식점 > 한식 > 국수 > 칼국수,204
56,"의료,건강 > 약국",198
57,음식점 > 분식,196
58,"가정,생활 > 패션 > 의류판매",192
59,음식점 > 분식 > 떡볶이 > 할머니가래떡볶이,186
60,"가정,생활 > 편의점 > 세븐일레븐",172
61,"서비스,산업 > 제조업 > 화학",166
62,"서비스,산업 > 전문대행 > 컨설팅",165
63,음식점 > 양식,164
64,"교통,수송 > 입출구",163
65,음식점 > 카페 > 커피전문점 > 스타벅스,153
66,"음식점 > 술집 > 호프,요리주점",144
67,음식점 > 중식 > 중국요리,141
68,음식점 > 술집,140
69,"서비스,산업 > 건설,건축 > 시공업체",136
70,"가정,생활 > 미용 > 피부관리",136
71,"가정,생활 > 미용 > 네일샵",134
72,"교육,학문 > 학원",134
73,"문화,예술 > 종교 > 기독교 > 교회",133
74,음식점 > 술집 > 일본식주점,131
75,"가정,생활 > 상가,아케이드 > 아파트상가",127
76,"가정,생활 > 반려동물 > 반려동물용품",127
77,"가정,생활 > 생활용품점 > 다이소",124
78,"가정,생활 > 화장실",120
79,"서비스,산업 > 전문대행 > 공간대여",120
80,"금융,보험 > 금융서비스 > 은행 > KB국민은행",117
81,"문화,예술 > 도서 > 출판사",115
82,"금융,보험 > 금융서비스",115
83,"금융,보험 > 금융서비스 > 은행 > 하나은행",115
84,"서비스,산업 > 무역업,중개업",111
85,"가정,생활 > 미용 > 체형관리",111
86,"서비스,산업 > 마케팅 > 광고기획,광고대행",107
87,"가정,생활 > 슈퍼마켓",107
88,"음식점 > 한식 > 육류,고기 > 곱창,막창",107
89,"교통,수송 > 교통시설 > 주차장 > 공영주차장",105
90,"스포츠,레저 > 요가,필라테스 > 필라테스",103
91,"가정,생활 > 반려동물 > 반려동물미용",100
92,"서비스,산업 > 건설,건축 > 종합건설사",99
93,"가정,생활 > 통신판매 > 인터넷쇼핑몰",98
94,"서비스,산업 > 정보통신",98
95,"금융,보험 > 금융서비스 > 은행 > 신한은행",96
96,"음식점 > 한식 > 해물,생선 > 회",94
97,"서비스,산업 > 관리,운영 > 건물관리사무소",94
98,"가정,생활 > 미용 > 화장품",92
99,"음식점 > 일식 > 초밥,롤",91
100,"서비스,산업 > 건설,건축 > 건설자재",89
101,부동산 > 주거시설 > 도시형생활주택,88
102,"가정,생활 > 패션 > 보석,귀금속",87
103,"서비스,산업 > 제조업 > 의료용품 > 의약품 > 제약회사",87
104,"가정,생활 > 생활용품점 > 철물점",86
105,"금융,보험 > 금융서비스 > 증권 > KB증권",86
106,"가정,생활 > 편의점 > 이마트24",85
107,"부동산 > 주거시설 > 고시원,고시텔",84
108,"금융,보험 > 금융서비스 > 은행 > 우리은행",84
109,"가정,생활 > 생활용품점 > 인테리어장식판매",84
110,"음식점 > 간식 > 떡,한과",82
111,"금융,보험 > 세무,회계 > 세무사사무소",82
112,"서비스,산업 > 식품 > 음료,주류제조 > 주류제조",82
113,"가정,생활 > 반려동물 > 반려견놀이터",81
114,"의료,건강 > 건강식품판매",80
115,"교육,학문 > 학원 > 애견미용학원",80
116,음식점 > 일식 > 일식집,79
117,"가정,생활 > 유아 > 장난감,완구",79
118,"가정,생활 > 결혼 > 예식장",79
119,"서비스,산업 > 제조업 > 산업용품",78
120,"문화,예술 > 미술,공예",78
121,"교통,수송 > 택시 > 콜밴",77
122,"가정,생활 > 가구판매",76
123,"사회,공공기관 > 공사,공단 > 한국산업인력공단",74
124,"문화,예술 > 문화시설 > 전시관",72
125,"가정,생활 > 전자제품 > 전자제품서비스센터 > 컴퓨터수리",72
126,"가정,생활 > 중고용품",72
127,음식점 > 샐러드,70
128,"가정,생활 > 유흥시설 > 유흥주점",69
129,여행 > 공원시설물,68
130,"가정,생활 > 패션 > 패션잡화점 > 안경,렌즈",67
131,"음식점 > 일식 > 돈까스,우동",67
132,음식점 > 술집 > 와인바,67
133,"교육,학문 > 학원 > 어학원 > 영어학원",64
134,"서비스,산업 > 전문대행",64
135,"가정,생활 > 드럭스토어 > 올리브영",64
136,"가정,생활 > 패션 > 의류판매 > 여성의류",64
137,"음식점 > 한식 > 육류,고기 > 닭요리",64
138,음식점 > 중식,63
139,음식점 > 양식 > 이탈리안,63
140,"가정,생활 > 여가시설 > 게임방,PC방",63
141,"가정,생활 > 유흥시설 > 나이트,클럽",63
142,"스포츠,레저 > 스포츠용품 > 캠핑용품",63
143,"가정,생활 > 세탁소 > 크린토피아",62
144,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",61
145,"의료,건강 > 병원 > 이비인후과",60
146,여행 > 공원 > 도시근린공원,60
147,"교통,수송 > 자동차 > 자동차부품",60
148,"서비스,산업 > 건설,건축 > 건축설계,컨설팅",59
149,"교육,학문 > 연구소 > 의학,약학연구소",59
150,"음식점 > 한식 > 육류,고기 > 갈비",58
151,음식점 > 일식,57
152,"의료,건강 > 병원 > 성형외과",56
153,음식점 > 양식 > 피자,56
154,"가정,생활 > 친목 > 노인정,노인회",55
155,"교육,학문 > 학교부속시설",55
156,"문화,예술 > 미술,공예 > 화랑",54
157,"서비스,산업 > 전문대행 > 직업소개,인력파견",54
158,"문화,예술 > 문화시설",53
159,"가정,생활 > 식품판매 > 반찬가게",53
160,"문화,예술 > 영화,영상",53
161,"서비스,산업 > 식품 > 음료,주류제조 > 주류도매,주류유통",52
162,음식점 > 술집 > 칵테일바,51
163,"가정,생활 > 반려동물 > 반려동물분양,판매",51
164,"음식점 > 한식 > 찌개,전골",50
165,"가정,생활 > 전자제품 > 전자제품판매 > 휴대폰판매",50
166,"교통,수송 > 자동차 > 자동차정비",50
167,"서비스,산업 > 전문대행 > 공간대여 > 스터디카페,스터디룸",50
168,"교육,학문 > 유아교육 > 유치원",50
169,"가정,생활 > 결혼 > 웨딩드레스",49
170,"문화,예술 > 영화,영상 > 영상제작,배급",48
171,"의료,건강 > 병원 > 피부과",48
172,음식점 > 카페 > 커피전문점 > 투썸플레이스,48
173,부동산 > 주거시설,46
174,"교육,학문 > 교육단체 > 평생교육원,사회교육원",46
175,"교육,학문 > 학습시설 > 도서관 > 작은도서관",46
176,"서비스,산업",45
177,"가정,생활 > 이사 > 이삿짐센터",45
178,"가정,생활 > 식품판매 > 정육점",43
179,음식점 > 술집 > 실내포장마차,43
180,"서비스,산업 > 전문대행 > 청소대행",43
181,"가정,생활 > 문구,사무용품",43
182,"가정,생활 > 생활용품점",43
183,여행 > 숙박 > 호텔,43
184,"스포츠,레저 > 골프 > 골프연습장 > 스크린골프연습장",42
185,"의료,건강 > 병원 > 정형외과",42
186,"스포츠,레저 > 당구 > 당구장,포켓볼",41
187,"사회,공공기관 > 단체,협회 > 사회복지시설 > 노인복지시설",41
188,"의료,건강 > 병원 > 일반의원",41
189,"교육,학문 > 학원 > 수학학원",41
190,"가정,생활 > 식품판매",40
191,"문화,예술 > 무용,댄스",40
192,"사회,공공기관 > 단체,협회 > 사회복지단체",40
193,"교육,학문 > 학원 > 요리학원",40
194,음식점 > 카페 > 커피전문점 > 메가MGC커피,40
195,"교통,수송 > 운송",39
196,"의료,건강 > 병원 > 정신건강의학과",39
197,"서비스,산업 > 건설,건축",39
198,음식점 > 한식 > 국수,39
199,"교통,수송 > 자동차 > 자동차용품",39
200,"스포츠,레저 > 스포츠용품 > 골프용품",38
201,"서비스,산업 > 디자인",38
202,"문화,예술 > 문화시설 > 공연장,연극극장",38
203,"교육,학문 > 학원 > 입시학원",38
204,"가정,생활 > 세탁소 > 셀프빨래방",37
205,음식점 > 샤브샤브,37
206,"금융,보험 > 금융서비스 > 보험사 > 손해보험 > KB손해보험",36
207,"가정,생활 > 패션 > 패션잡화점 > 구두,신발 > ABC마트",36
208,"교육,학문 > 학습시설 > 독서실",36
209,"교육,학문 > 직업전문교육",36
210,"가정,생활 > 패션 > 의류수선",36
211,"서비스,산업 > 인쇄,복사",35
212,"가정,생활 > 운명감정",35
213,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 노브랜드",34
214,"가정,생활 > 미용 > 미용실 > 준오헤어",34
215,"금융,보험 > 금융서비스 > 은행 > 새마을금고",34
216,음식점 > 아시아음식,34
217,"가정,생활 > 전자제품 > 전자제품판매 > 롯데하이마트",33
218,"교육,학문 > 학습시설 > 도서관",33
219,"음식점 > 한식 > 해물,생선 > 장어",33
220,음식점 > 분식 > 떡볶이,32
221,"의료,건강 > 병원 > 안과",31
222,음식점 > 일식 > 참치회,31
223,"교육,학문 > 연구소",31
224,부동산 > 부동산서비스 > 부동산개발,31
225,"스포츠,레저 > 무예 > 태권도 > 태권도장",31
226,"서비스,산업 > 제조업",31
227,"서비스,산업 > 정보통신 > SK텔레콤 > SKT대리점",31
228,"음식점 > 한식 > 육류,고기 > 족발,보쌈",30
229,"가정,생활 > 패션 > 의류판매 > 유니클로",30
230,"가정,생활 > 전자제품 > 전자제품판매",30
231,"의료,건강 > 상담 > 심리상담소",30
232,"의료,건강 > 병원 > 소아청소년과",30
233,"교육,학문 > 학원 > 무용학원,발레학원",30
234,음식점 > 카페 > 공차,29
235,"스포츠,레저 > 골프 > 골프연습장",29
236,"서비스,산업 > 무역업,중개업 > 무역,관세",29
237,"교통,수송 > 자동차 > 썬팅,광택",29
238,음식점 > 한식 > 순대,28
239,"금융,보험 > 금융서비스 > 은행 > NH농협은행",28
240,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",28
241,"문화,예술 > 문화시설 > 미술관",28
242,"스포츠,레저 > 테니스 > 테니스장",28
243,"스포츠,레저 > 골프 > 골프연습장 > 스크린골프연습장 > 골프존파크",28
244,"교통,수송 > 오토바이",28
245,음식점 > 중식 > 양꼬치,28
246,"서비스,산업 > 제조업 > 통신장비",27
247,음식점 > 한식 > 한정식,27
248,"서비스,산업 > 정보통신 > KT > KT대리점",27
249,"문화,예술 > 도서 > 서점",27
250,"교육,학문 > 학원 > 미용학원",27
251,"사회,공공기관 > 단체,협회 > 사회복지시설 > 아동복지시설",27
252,"스포츠,레저 > 스포츠시설",27
253,"의료,건강 > 병원 > 산부인과",26
254,"가정,생활 > 패션 > 의류판매 > 남성의류,양복",26
255,"가정,생활 > 이발소",26
256,"가정,생활 > 전자제품 > 전자제품판매 > 조명기기판매",26
257,음식점 > 한식 > 설렁탕,26
258,음식점 > 카페 > 커피전문점 > 이디야커피,25
259,"교육,학문 > 학원 > 음악학원 > 피아노학원",25
260,"서비스,산업 > 식품",25
261,음식점 > 샤브샤브 > 등촌샤브칼국수,25
262,"금융,보험 > 금융서비스 > 은행 > 기업은행",24
263,"가정,생활 > 복합쇼핑몰",24
264,"금융,보험 > 금융서비스 > 보험사",24
265,"의료,건강 > 의료기기판매",24
266,"교통,수송 > 자동차 > 자동차판매점 > 현대자동차",24
267,"언론,미디어 > 신문",24
268,"서비스,산업 > 여행사",24
269,"가정,생활 > 목욕탕,사우나 > 찜질방",24
270,"사회,공공기관 > 단체,협회 > 사회복지시설",23
271,"가정,생활 > 전자제품 > 전자제품판매 > 컴퓨터주변기기",23
272,"가정,생활 > 전자제품 > 전자제품서비스센터 > 통신기기수리 > Apple 공인서비스센터",23
273,"의료,건강 > 병원 > 재활의학과",23
274,"가정,생활 > 패션 > 구두수선",23
275,"교통,수송 > 교통시설 > 카셰어링 > 쏘카존",23
276,"가정,생활 > 시장",23
277,"가정,생활 > 미용 > 피부관리 > 세레니끄",23
278,여행 > 공원,23
279,"스포츠,레저 > 수영,수상 > 수영장",23
280,"여행 > 관광,명소 > 숲",22
281,"스포츠,레저 > 스포츠용품",22
282,"교육,학문 > 학교 > 대학교",22
283,"가정,생활 > 문구,사무용품 > 알파",22
284,"금융,보험 > 금융서비스 > 협동,소비조합 > 농축협농협",22
285,"가정,생활 > 미용 > 발관리 > 더풋샵",22
286,"가정,생활 > 전자제품 > 전자제품판매 > 바디프랜드",22
287,"가정,생활 > 상가,아케이드 > 엔터식스",22
288,"가정,생활 > 반려동물 > 반려동물용품 > 장보는강아지와고양이",22
289,"가정,생활 > 세탁소 > 크린위드",22
290,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 나이키",22
291,"서비스,산업 > 전문대행 > 공간대여 > 모임공간 > 토즈모임센터",22
292,"서비스,산업 > 전문대행 > 렌터카 > 롯데렌터카",21
293,"가정,생활 > 취미 > 복권",21
294,"사회,공공기관 > 지방행정기관 > 무인민원발급창구",21
295,"가정,생활 > 패션 > 패션잡화점 > 구두,신발",21
296,"문화,예술 > 도서 > 서점 > 영풍문고",21
297,"가정,생활 > 패션 > 의류판매 > 수입의류 > ZARA",21
298,"가정,생활 > 문구,사무용품 > 디자인문구 > 아트박스",21
299,"가정,생활 > 패션 > 의류판매 > 한복",21
300,"가정,생활 > 생활용품점 > 주방용품 > 주방가구,싱크대판매",21
301,"가정,생활 > 목욕탕,사우나",21
302,"교육,학문 > 학원 > 보습학원",21
303,음식점 > 도시락,21
304,"금융,보험 > 금융서비스 > 협동,소비조합 > 수산업협동조합",21
305,"음식점 > 한식 > 육류,고기 > 고반식당",21
306,"가정,생활 > 유아 > 놀이시설 > 키즈카페",21
307,음식점 > 카페 > 커피전문점 > 컴포즈커피,20
308,음식점 > 한식 > 국밥,20
309,"서비스,산업 > 건설,건축 > 시공업체 > 배관,누수시공",20
310,"가정,생활 > 반려동물 > 훈련소",20
311,치안기관 > 대피소 > 지진대피소,20
312,"가정,생활",20
313,여행 > 숙박 > 게스트하우스,20
314,"서비스,산업 > 전문대행 > 이벤트기획,대행",20
315,"스포츠,레저 > 골프",19
316,"서비스,산업 > 관리,운영 > 공원관리운영",19
317,"가정,생활 > 미용 > 체형관리 > 다이어트,비만",19
318,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",19
319,"의료,건강 > 병원 > 비뇨기과",19
320,"교통,수송 > 교통시설 > 카셰어링 > 그린존",19
321,음식점 > 일식 > 일본식라면,19
322,"서비스,산업 > 제조업 > 산업용품 > 공구,공작기계",19
323,"문화,예술 > 미술,공예 > 액자,표구",19
324,음식점,19
325,"서비스,산업 > 건설,건축 > 시공업체 > 전기시공",19
326,"여행 > 관광,명소 > 수목원,식물원",19
327,"서비스,산업 > 전문대행 > 렌터카",18
328,음식점 > 한식 > 감자탕,18
329,"가정,생활 > 대형마트 > 이마트",18
330,"서비스,산업 > 식품 > 담배 > 전자담배",18
331,"가정,생활 > 미용 > 미용실 > 이철헤어커커",18
332,여행 > 숙박 > 호텔 > 특급호텔,18
333,음식점 > 뷔페,18
334,"문화,예술 > 도서 > 출판사 > 잡지사,정기간행물출판",18
335,"교육,학문 > 학원 > 어학원",18
336,"서비스,산업 > 건설,건축 > 건설자재 > 바닥재",18
337,"가정,생활 > 가구판매 > 한샘",18
338,"교통,수송 > 자동차 > 세차장",18
339,"교육,학문 > 유아교육",18
340,"가정,생활 > 결혼 > 웨딩컨설팅",18
341,음식점 > 치킨 > BHC치킨,18
342,"가정,생활 > 여가시설 > 오락실",17
343,부동산 > 부동산서비스 > 부동산컨설팅,17
344,"가정,생활 > 세탁소 > 셀프빨래방 > 크린토피아 코인워시",17
345,"가정,생활 > 문구,사무용품 > 디자인문구 > 카카오프렌즈",17
346,이슈 > 백신접종 > 위탁의료기관,17
347,"금융,보험",17
348,"가정,생활 > 식품판매 > 과일,채소가게",17
349,"가정,생활 > 여가시설 > 보드카페",17
350,"문화,예술 > 도서 > 서점 > 교보문고",17
351,"음식점 > 한식 > 육류,고기 > 삼겹살",17
352,"여행 > 숙박 > 여관,모텔",17
353,음식점 > 카페 > 테마카페 > 라이브카페,17
354,"의료,건강 > 건강식품판매 > 인삼,홍삼 > 정관장",17
355,"교육,학문 > 교육단체",17
356,"서비스,산업 > 전문대행 > 유학,어학연수",17
357,"가정,생활 > 미용 > 미용실 > 리안헤어",17
358,"서비스,산업 > 제조업 > 생활용품제조",16
359,"가정,생활 > 생활용품점 > 열쇠,도장",16
360,"서비스,산업 > 법률,행정 > 법무사",16
361,"서비스,산업 > 건설,건축 > 건설자재 > 페인트,도장",16
362,"부동산 > 주거시설 > 빌라,연립주택 > 빌라,연립주택 동",16
363,"가정,생활 > 대형마트 > 롯데마트",16
364,음식점 > 아시아음식 > 동남아음식,16
365,"가정,생활 > 여가시설 > 만화방 > 만화카페",16
366,"가정,생활 > 패션 > 패션잡화점",15
367,"문화,예술 > 공연,연극 > 공연기획",15
368,음식점 > 카페 > 테마카페,15
369,"문화,예술 > 음악 > 악기판매점",15
370,음식점 > 카페 > 커피전문점 > 카페베네,15
371,"의료,건강 > 병원 > 가정의학과",15
372,"스포츠,레저 > 복싱,권투 > 복싱,권투장",15
373,"서비스,산업 > 법률,행정 > 변호사",15
374,"서비스,산업 > 마케팅 > 간판",14
375,"가정,생활 > 통신판매",14
376,"여행 > 관광,명소 > 관광안내소",14
377,"스포츠,레저 > 요가,필라테스",14
378,"서비스,산업 > 제조업 > 전기,전자 > 전기자재,부품",14
379,"가정,생활 > 패션 > 패션잡화점 > 가방",14
380,"교통,수송 > 기차,철도 > 기차역 > KTX정차역",14
381,음식점 > 간식 > 초콜릿,14
382,음식점 > 패스트푸드 > 샌드위치,14
383,"여행 > 관광,명소 > 테마파크 > 테마파크시설",14
384,음식점 > 한식 > 냉면,14
385,음식점 > 카페 > 커피전문점 > 커피빈,14
386,"스포츠,레저 > 자전거,싸이클",14
387,"음식점 > 한식 > 육류,고기 > 곱창,막창 > 오발탄",14
388,"교육,학문 > 학습시설",14
389,"의료,건강 > 건강식품판매 > 인삼,홍삼",14
390,"음식점 > 양식 > 멕시칸,브라질",14
391,"의료,건강 > 상담",14
392,"서비스,산업 > 법률,행정 > 변호사 > 법무법인",14
393,여행 > 축제,14
394,"서비스,산업 > 건설,건축 > 시공업체 > 유리,창호시공",14
395,"가정,생활 > 패션 > 패션잡화점 > 안경,렌즈 > 다비치안경",14
396,음식점 > 간식 > 아이스크림 > 배스킨라빈스,14
397,"여행 > 관광,명소",14
398,"교통,수송 > 자동차 > 자동차정비 > 카튜닝샾",14
399,"서비스,산업 > 전문대행 > 공간대여 > 공유오피스",13
400,음식점 > 카페 > 커피전문점 > 빽다방,13
401,"문화,예술 > 영화,영상 > 영화관 > CGV",13
402,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",13
403,"가정,생활 > 식품판매 > 주류판매",13
404,"의료,건강 > 상담 > 아동상담센터",13
405,"가정,생활 > 편의점",13
406,"금융,보험 > 금융서비스 > 자산관리,자산운용",13
407,"여행 > 관광,명소 > 문화유적 > 탑,비석",13
408,"스포츠,레저 > 무예 > 격투기",13
409,"교육,학문 > 전통교육",13
410,"가정,생활 > 패션 > 의류대여서비스 > 한복대여",13
411,"교통,수송 > 도로시설 > 교차로",12
412,"가정,생활 > 패션 > 패션잡화점 > 액세서리 > 폰액세서리",12
